Country,City_Tier,Age,Gender,Education_Level,HH_Size,Annual_HH_Income_USD,Monthly_kWh,High_Energy_Appliances,EE_Appliance_Share,Env_Concern,EE_Knowledge,Govt_Incentive_Aware,Will_Adopt,Premium_WTP_pct,Budget_USD,Financing_Pref,Acceptable_Payback_yrs,Primary_Decision_Factor,Main_Barrier,Wanted_Features,Interested_Categories,Info_Sources
Singapore,Metro,36,Female,Graduate,5,116588.28,188.0,7,53,3,2,0,1,11.3,6029.62,Upfront,4,Energy saving,High cost,5‑Star rating,Air‑purifier;Water‑heater,Friends/Family;Social media;In‑store demos
India,Tier‑2 city,20,Female,Secondary,3,44875.55,186.0,2,34,2,2,1,0,5.3,1628.84,Rental,2,Peer reviews,Uncertain savings,5‑Star rating;Wi‑Fi control,AC;Washer;Air‑purifier,Friends/Family;Online reviews;In‑store demos
India,Rural,43,Male,Secondary,1,18413.89,365.6,3,30,3,3,0,1,6.8,1389.31,BNPL,2,Energy saving,Low awareness,5‑Star rating,Refrigerator;Water‑heater,Social media
UAE,Metro,21,Other,Graduate,6,747089.63,260.4,10,100,1,1,1,0,1.6,37670.54,0‑interest EMI,1,Up‑front price,Low awareness,Solar compatibility,Dishwasher;AC,Online reviews
Singapore,Metro,36,Female,Secondary,3,119683.81,231.2,9,58,1,2,1,1,3.9,6089.99,Upfront,4,Up‑front price,Other,Wi‑Fi control,Dishwasher;AC,Social media;Online reviews
Singapore,Metro,33,Male,Graduate,5,104377.98,333.0,8,43,3,2,0,1,10.8,5772.76,Upfront,1,Peer reviews,Uncertain savings,Wi‑Fi control;5‑Star rating,Washer;Refrigerator,Online reviews
UAE,Metro,43,Male,Graduate,4,114147.97,382.3,4,53,1,2,1,1,8.9,5880.64,Upfront,6,Govt incentive,Other,Wi‑Fi control;5‑Star rating,Water‑heater;AC,Friends/Family;Online reviews
UAE,Metro,33,Female,Graduate,4,75756.3,448.8,6,51,5,4,1,1,15.1,4399.41,BNPL,4,Brand,Limited models,Solar compatibility;Compact design,Dishwasher,In‑store demos;Friends/Family;Social media
India,Metro,26,Male,Secondary,2,37216.68,386.6,4,64,2,1,1,1,12.0,3080.71,Rental,3,Brand,Uncertain savings,Solar compatibility,Air‑purifier;AC;Refrigerator,In‑store demos;Friends/Family;Online reviews
India,Metro,43,Female,Secondary,3,28877.39,133.4,1,46,2,3,0,0,2.1,647.37,BNPL,3,Govt incentive,High cost,5‑Star rating,Washer;Water‑heater;Refrigerator,Social media
Singapore,Tier‑2 city,22,Female,Secondary,3,73108.02,729.9,4,33,3,4,1,1,17.2,2812.75,BNPL,3,Brand,Limited models,Solar compatibility;Compact design,Refrigerator;Dishwasher;AC,Friends/Family;Social media
UAE,Metro,27,Male,Secondary,4,40868.02,521.4,2,40,1,2,0,0,1.9,2322.56,Upfront,3,Energy saving,Limited models,Compact design;Solar compatibility,Refrigerator;AC;Water‑heater,In‑store demos;Social media
UAE,Metro,43,Female,Graduate,2,53195.17,285.5,4,28,2,2,1,0,4.2,2658.98,Upfront,2,Up‑front price,Uncertain savings,5‑Star rating;Quiet motor;Wi‑Fi control,Water‑heater,Social media;Online reviews
UAE,Metro,46,Male,Graduate,3,50839.81,431.6,1,39,4,3,0,0,6.4,2566.52,0‑interest EMI,2,Brand,Other,Quiet motor;Compact design;Wi‑Fi control,Water‑heater;Dishwasher,In‑store demos;Govt portals;Friends/Family
India,Metro,28,Female,Primary,5,17720.89,164.7,1,32,3,3,0,0,3.5,50.0,0‑interest EMI,2,Peer reviews,High cost,Quiet motor,Washer,In‑store demos
India,Metro,38,Male,Primary,6,22472.95,186.6,0,41,4,3,0,0,5.3,368.94,BNPL,2,Peer reviews,Uncertain savings,Solar compatibility,AC,Social media;In‑store demos;Friends/Family
India,Metro,47,Female,Secondary,1,15378.56,182.9,0,47,4,3,1,0,2.9,1519.59,Upfront,4,Energy saving,High cost,Quiet motor;Compact design,Water‑heater;Air‑purifier;Washer,Friends/Family;Online reviews
Singapore,Metro,40,Male,Secondary,4,95865.95,280.9,10,63,4,3,0,1,11.5,4195.25,Upfront,2,Brand,Other,Solar compatibility,Refrigerator;Water‑heater,In‑store demos;Social media;Govt portals
India,Metro,40,Female,Secondary,3,27208.92,297.3,3,55,2,2,0,1,11.0,1759.35,Rental,2,Brand,Other,5‑Star rating;Solar compatibility,Dishwasher;Water‑heater,Online reviews
India,Tier‑2 city,47,Male,Graduate,2,37061.41,557.7,5,38,2,2,1,0,2.9,1400.81,0‑interest EMI,2,Energy saving,Limited models,5‑Star rating;Solar compatibility;Quiet motor,Air‑purifier;Dishwasher;AC,Friends/Family
UAE,Tier‑2 city,43,Female,Secondary,4,99363.18,445.2,4,62,4,3,1,0,8.1,5682.17,BNPL,3,Govt incentive,High cost,Solar compatibility;Quiet motor,Refrigerator,In‑store demos;Online reviews
Singapore,Metro,36,Male,Graduate,2,76860.05,298.3,5,56,5,5,0,1,13.8,4047.18,Upfront,2,Up‑front price,Other,Solar compatibility,Washer,Friends/Family;Govt portals;Social media
UAE,Metro,32,Female,Graduate,1,74397.43,446.5,4,65,4,5,1,1,8.6,4021.11,Upfront,4,Peer reviews,Low awareness,5‑Star rating;Solar compatibility,Air‑purifier;Dishwasher,Govt portals
India,Metro,27,Female,Graduate,4,28887.93,191.4,4,53,3,2,0,1,12.5,1277.01,Upfront,2,Peer reviews,Low awareness,Wi‑Fi control;Quiet motor;Solar compatibility,Dishwasher;AC,In‑store demos;Friends/Family;Govt portals
India,Tier‑2 city,38,Male,Primary,4,14684.38,279.3,3,45,5,5,1,1,11.4,273.01,Rental,4,Energy saving,Other,Compact design;Solar compatibility;Wi‑Fi control,Dishwasher,Social media;In‑store demos
India,Metro,50,Male,Post‑grad,2,16354.03,445.4,2,39,3,4,0,1,12.9,1371.24,0‑interest EMI,2,Brand,Uncertain savings,Solar compatibility;5‑Star rating,Water‑heater;Dishwasher,Friends/Family;Govt portals;Online reviews
India,Rural,25,Female,Secondary,3,30880.51,117.6,2,34,4,5,0,0,8.2,2399.33,Upfront,2,Energy saving,Low awareness,Wi‑Fi control;5‑Star rating;Solar compatibility,AC,In‑store demos
India,Tier‑2 city,33,Male,Post‑grad,1,16257.71,275.3,0,20,5,5,0,0,5.5,407.14,Upfront,3,Govt incentive,Other,Quiet motor;Wi‑Fi control;5‑Star rating,Dishwasher;AC;Washer,Friends/Family;Social media
India,Metro,30,Other,Secondary,3,15161.57,921.2,1,34,4,3,1,0,6.9,2123.51,BNPL,1,Energy saving,High cost,Solar compatibility,Water‑heater,Friends/Family
Singapore,Metro,33,Male,Graduate,5,114780.4,371.6,8,81,2,3,1,1,4.6,5766.81,Upfront,6,Energy saving,High cost,5‑Star rating;Wi‑Fi control;Solar compatibility,Refrigerator,Social media;Govt portals
UAE,Metro,33,Female,Graduate,3,51471.11,333.1,4,61,3,4,0,1,8.2,2536.1,0‑interest EMI,1,Govt incentive,Other,Solar compatibility,Dishwasher;Refrigerator,Friends/Family;Online reviews;Govt portals
India,Tier‑2 city,35,Female,Graduate,2,12804.97,260.0,2,21,5,5,1,0,5.6,402.86,0‑interest EMI,0,Up‑front price,Low awareness,Solar compatibility,Washer;AC;Dishwasher,In‑store demos;Social media
UAE,Metro,41,Male,Secondary,2,85527.08,169.9,7,66,1,1,1,0,2.8,4234.03,BNPL,3,Up‑front price,Uncertain savings,Compact design;Wi‑Fi control,Air‑purifier;AC,Social media
Singapore,Metro,24,Male,Graduate,3,52213.85,650.9,6,44,1,1,1,0,5.6,2907.47,0‑interest EMI,0,Up‑front price,Other,Wi‑Fi control;Compact design,Washer;Refrigerator,Friends/Family;Govt portals;Social media
Singapore,Metro,29,Male,Graduate,5,116372.33,345.3,4,80,3,4,1,1,6.6,5986.7,Upfront,1,Up‑front price,Other,5‑Star rating;Wi‑Fi control;Quiet motor,Water‑heater;Dishwasher;Refrigerator,Social media
Singapore,Metro,34,Male,Graduate,3,154464.3,492.4,10,81,3,2,0,1,5.8,7410.12,Upfront,3,Energy saving,Limited models,Quiet motor,AC,Govt portals;Friends/Family;In‑store demos
UAE,Tier‑2 city,33,Male,Post‑grad,2,90467.93,267.7,4,63,1,1,1,0,2.7,4038.39,Rental,1,Brand,Low awareness,Solar compatibility,Refrigerator;AC,Govt portals
Singapore,Metro,34,Female,Graduate,1,131918.89,414.8,6,70,4,5,0,1,7.2,6481.64,Upfront,1,Energy saving,Low awareness,Solar compatibility;Quiet motor,Refrigerator,In‑store demos
UAE,Tier‑2 city,41,Male,Secondary,1,88696.54,390.6,1,79,3,2,0,0,5.1,4556.8,Upfront,0,Brand,Other,Wi‑Fi control,Refrigerator,Social media
Singapore,Metro,26,Male,Secondary,1,132198.27,375.0,10,57,1,1,1,0,7.7,6937.24,0‑interest EMI,3,Up‑front price,Other,5‑Star rating;Wi‑Fi control;Compact design,Air‑purifier,Friends/Family;Online reviews;Social media
India,Rural,35,Male,Secondary,1,22839.0,296.4,1,37,4,5,1,1,14.2,1350.58,Rental,2,Govt incentive,Limited models,Compact design;5‑Star rating;Solar compatibility,AC;Water‑heater,Social media;In‑store demos;Govt portals
Singapore,Metro,47,Other,Post‑grad,4,53968.5,253.3,7,53,5,5,0,1,17.0,2516.15,0‑interest EMI,0,Brand,Other,5‑Star rating;Wi‑Fi control;Quiet motor,Dishwasher,Online reviews;Govt portals
India,Metro,22,Male,Post‑grad,1,23131.26,251.1,5,47,3,3,0,0,3.5,323.26,Upfront,4,Peer reviews,High cost,Compact design;Solar compatibility,Washer;Refrigerator;AC,In‑store demos;Govt portals;Online reviews
UAE,Metro,18,Female,Graduate,2,40358.55,311.4,2,44,1,2,0,0,0.7,2090.22,Upfront,3,Peer reviews,High cost,Solar compatibility,Water‑heater;Dishwasher;Refrigerator,Friends/Family;Govt portals;Online reviews
India,Metro,41,Male,Primary,4,12809.55,94.4,0,36,3,4,1,0,4.5,867.88,Rental,3,Energy saving,Uncertain savings,Compact design,AC;Refrigerator,Govt portals;In‑store demos
UAE,Metro,48,Female,Graduate,1,70761.63,390.6,1,32,4,3,0,1,9.4,2822.32,Upfront,3,Up‑front price,High cost,Wi‑Fi control;Compact design;Solar compatibility,Washer;Air‑purifier;AC,Govt portals;Online reviews;In‑store demos
India,Metro,29,Other,Primary,3,10261.01,356.9,1,48,3,4,1,1,5.9,50.0,BNPL,1,Peer reviews,Low awareness,5‑Star rating;Compact design;Quiet motor,Washer;Refrigerator;Water‑heater,Friends/Family;Govt portals
UAE,Metro,36,Female,Secondary,1,165774.49,253.6,4,58,1,1,1,0,6.1,8096.03,0‑interest EMI,3,Energy saving,Limited models,5‑Star rating;Wi‑Fi control,AC;Air‑purifier;Washer,Friends/Family
Singapore,Metro,54,Female,Secondary,2,105820.45,1164.8,5,58,2,2,0,0,4.7,5527.02,Upfront,3,Energy saving,Uncertain savings,5‑Star rating;Wi‑Fi control,AC,Friends/Family
UAE,Metro,22,Female,Graduate,3,59735.17,655.6,4,62,2,1,1,1,4.1,3381.94,Rental,3,Govt incentive,Uncertain savings,Quiet motor;Solar compatibility;5‑Star rating,Air‑purifier;Washer;Water‑heater,In‑store demos;Social media
India,Rural,33,Male,Graduate,3,22802.82,142.8,5,37,5,5,0,1,8.7,1512.05,Upfront,3,Energy saving,High cost,5‑Star rating;Wi‑Fi control,Refrigerator;Dishwasher,Govt portals;Friends/Family
India,Metro,52,Male,Secondary,7,14773.1,324.0,1,36,5,4,1,1,15.0,502.23,BNPL,1,Up‑front price,High cost,Quiet motor;Solar compatibility;Compact design,AC,Friends/Family;In‑store demos;Social media
UAE,Metro,44,Female,Secondary,2,107538.23,569.4,3,100,1,1,0,1,8.6,4253.47,Upfront,2,Up‑front price,Other,Solar compatibility,Refrigerator;AC,Online reviews;Friends/Family
India,Tier‑2 city,37,Female,Graduate,1,25954.4,634.4,3,44,5,4,1,1,22.4,897.23,0‑interest EMI,5,Govt incentive,Other,Solar compatibility;5‑Star rating,Washer;Refrigerator;Air‑purifier,Social media
UAE,Metro,28,Male,Secondary,3,46771.45,260.8,4,66,3,3,1,1,8.7,2983.76,0‑interest EMI,3,Govt incentive,Limited models,Quiet motor,AC,Online reviews
UAE,Metro,40,Male,Graduate,3,94258.96,474.8,5,95,5,4,1,1,8.1,4879.88,Upfront,5,Peer reviews,Uncertain savings,5‑Star rating;Compact design,Air‑purifier;Water‑heater;Refrigerator,Friends/Family
Singapore,Metro,52,Male,Secondary,5,77646.51,385.3,4,66,3,2,1,1,10.1,3909.36,Upfront,4,Energy saving,Low awareness,5‑Star rating;Compact design,Refrigerator;Washer,Online reviews
India,Tier‑2 city,40,Female,Graduate,5,16911.71,276.2,0,37,4,5,0,0,5.4,1160.35,0‑interest EMI,1,Energy saving,Uncertain savings,Quiet motor;5‑Star rating;Solar compatibility,Air‑purifier;Washer;Water‑heater,In‑store demos;Friends/Family;Online reviews
Singapore,Tier‑2 city,32,Male,Secondary,2,71940.27,270.8,6,47,4,4,1,1,9.3,3687.73,0‑interest EMI,2,Up‑front price,Uncertain savings,Wi‑Fi control;Quiet motor,Air‑purifier;Refrigerator,In‑store demos
India,Tier‑2 city,25,Male,Secondary,2,21441.25,165.0,0,0,1,2,0,0,7.4,1174.7,Upfront,2,Govt incentive,Uncertain savings,Solar compatibility,Dishwasher,Online reviews;In‑store demos
India,Tier‑2 city,37,Male,Secondary,1,12894.63,291.1,1,31,3,3,1,1,15.4,741.79,Upfront,1,Peer reviews,Limited models,Solar compatibility;Quiet motor;5‑Star rating,Air‑purifier;Washer,In‑store demos;Social media
India,Metro,41,Male,Post‑grad,5,26912.57,372.8,4,68,5,5,0,1,11.9,2112.81,Upfront,2,Govt incentive,High cost,Quiet motor,Refrigerator,Social media
Singapore,Metro,37,Female,Secondary,1,104110.1,335.4,7,39,3,4,1,1,15.6,6056.92,Upfront,4,Peer reviews,Uncertain savings,Compact design;5‑Star rating,Air‑purifier;Washer,Online reviews;Govt portals;Social media
India,Metro,20,Male,Graduate,2,11477.36,229.2,1,23,2,3,1,0,1.0,986.24,0‑interest EMI,4,Brand,Other,5‑Star rating;Compact design;Wi‑Fi control,Washer;Air‑purifier;AC,Online reviews;Govt portals
India,Tier‑2 city,26,Male,Secondary,2,15678.59,120.7,2,38,5,4,1,1,13.6,655.65,BNPL,5,Up‑front price,Limited models,Solar compatibility,Air‑purifier,Govt portals
India,Tier‑2 city,37,Female,Graduate,6,16640.87,135.8,2,12,5,5,0,1,14.0,968.64,Upfront,3,Brand,Other,Compact design;Quiet motor,Washer,Govt portals;Online reviews
India,Metro,42,Male,Secondary,1,26443.77,236.2,2,26,3,3,0,0,4.0,1407.42,Upfront,3,Govt incentive,Uncertain savings,Wi‑Fi control,AC;Washer,Friends/Family;Govt portals;Social media
UAE,Metro,36,Female,Secondary,2,58744.15,302.4,3,61,4,5,1,1,9.1,2801.3,Upfront,2,Peer reviews,Other,Wi‑Fi control;5‑Star rating;Quiet motor,Water‑heater,Online reviews
UAE,Metro,33,Female,Graduate,4,75920.91,417.9,6,57,1,1,1,0,3.5,3220.11,Upfront,0,Govt incentive,Limited models,5‑Star rating,Water‑heater,Govt portals
India,Metro,47,Male,Graduate,3,18773.13,247.4,3,21,4,5,1,1,19.5,1720.79,Upfront,3,Govt incentive,Low awareness,Solar compatibility,Washer,Friends/Family;In‑store demos
India,Metro,43,Female,Graduate,3,23186.74,308.7,2,33,2,1,0,0,6.1,869.89,BNPL,1,Govt incentive,High cost,Wi‑Fi control;Compact design;Solar compatibility,Dishwasher;Washer;AC,Govt portals
India,Tier‑2 city,22,Male,Primary,6,16976.97,332.4,2,52,5,5,0,0,7.2,372.69,Rental,1,Up‑front price,Limited models,Compact design;Wi‑Fi control;5‑Star rating,Refrigerator;AC;Air‑purifier,Social media;Govt portals;Friends/Family
UAE,Metro,18,Female,Secondary,4,56753.42,420.1,2,32,2,1,0,0,3.1,2826.38,Upfront,3,Energy saving,Uncertain savings,Compact design;Wi‑Fi control,Water‑heater;Air‑purifier,Online reviews
Singapore,Metro,32,Female,Post‑grad,6,116968.84,245.9,5,56,4,3,1,1,11.0,5468.35,Upfront,3,Brand,Uncertain savings,Solar compatibility,AC;Refrigerator;Water‑heater,Friends/Family
India,Tier‑2 city,30,Male,Primary,3,7633.79,241.1,1,46,2,1,0,0,2.1,1090.97,0‑interest EMI,3,Govt incentive,High cost,5‑Star rating;Wi‑Fi control;Solar compatibility,AC;Water‑heater,In‑store demos
UAE,Metro,25,Male,Graduate,2,101196.17,277.4,3,66,2,3,1,1,6.7,4576.92,BNPL,3,Brand,Low awareness,Compact design;Solar compatibility,Refrigerator,Govt portals;In‑store demos;Friends/Family
UAE,Tier‑2 city,41,Female,Secondary,4,75421.35,354.4,2,72,3,3,1,1,3.5,3093.34,Upfront,2,Energy saving,Limited models,Compact design;Quiet motor;5‑Star rating,Water‑heater;Air‑purifier,In‑store demos;Govt portals
India,Tier‑2 city,36,Male,Graduate,2,14702.36,225.2,1,47,1,1,1,0,6.5,572.97,0‑interest EMI,4,Up‑front price,High cost,Wi‑Fi control;5‑Star rating,Air‑purifier;Refrigerator,Online reviews
India,Tier‑2 city,33,Female,Graduate,5,16422.02,190.8,2,28,3,4,0,1,8.1,96.39,Rental,3,Energy saving,Limited models,Wi‑Fi control,AC;Water‑heater,In‑store demos;Online reviews;Social media
India,Metro,47,Female,Graduate,4,23764.21,193.9,4,35,3,2,1,0,2.3,930.71,BNPL,2,Up‑front price,High cost,Quiet motor;Solar compatibility,Water‑heater;Washer;AC,Govt portals
UAE,Metro,38,Male,Secondary,1,737664.15,594.9,10,100,4,3,1,0,7.0,36911.68,Upfront,1,Up‑front price,Other,5‑Star rating;Solar compatibility,AC;Air‑purifier;Water‑heater,Online reviews
UAE,Metro,40,Female,Graduate,1,86549.97,304.4,3,47,5,5,1,0,13.6,3844.67,Upfront,5,Govt incentive,Other,Solar compatibility;Quiet motor,Refrigerator;AC,Friends/Family;Online reviews
India,Tier‑2 city,28,Male,Primary,3,13386.78,401.5,1,21,5,4,0,1,9.1,953.22,0‑interest EMI,2,Peer reviews,Uncertain savings,5‑Star rating;Wi‑Fi control,Dishwasher,In‑store demos
Singapore,Metro,38,Male,Post‑grad,7,75804.03,218.7,5,30,4,3,0,1,11.8,4324.39,BNPL,3,Brand,High cost,Wi‑Fi control,Washer;Water‑heater;Air‑purifier,Friends/Family;In‑store demos
UAE,Metro,18,Female,Primary,5,45835.14,530.2,2,39,5,5,0,1,21.9,2697.3,Upfront,2,Peer reviews,Uncertain savings,Wi‑Fi control;Solar compatibility,AC;Dishwasher;Washer,Friends/Family;Online reviews;In‑store demos
UAE,Metro,24,Male,Graduate,3,60624.54,1020.9,4,41,1,1,0,0,4.4,3526.16,BNPL,2,Brand,Limited models,Wi‑Fi control,AC;Air‑purifier,In‑store demos;Online reviews;Govt portals
India,Metro,32,Female,Secondary,3,41195.9,675.6,4,46,5,4,1,0,5.3,2226.1,BNPL,4,Brand,Other,Quiet motor,Washer;AC,Govt portals;Social media
UAE,Metro,49,Female,Graduate,3,76281.15,299.5,6,65,5,5,1,1,9.5,4210.65,Upfront,2,Energy saving,Other,Quiet motor,Refrigerator,Online reviews;Friends/Family
Singapore,Metro,42,Male,Secondary,2,66800.15,336.0,4,52,5,4,1,1,20.1,3354.01,Upfront,2,Brand,Limited models,Quiet motor;Compact design,Water‑heater;Air‑purifier,Friends/Family
India,Metro,50,Female,Primary,4,15252.23,239.1,4,27,2,3,0,0,5.8,270.71,0‑interest EMI,4,Up‑front price,Uncertain savings,Solar compatibility;Quiet motor,AC;Water‑heater,In‑store demos
India,Metro,31,Female,Post‑grad,7,20013.88,412.9,2,32,2,2,0,1,5.0,588.56,Rental,4,Brand,High cost,Wi‑Fi control,Water‑heater,Friends/Family;Social media;Online reviews
UAE,Metro,39,Female,Graduate,9,84155.93,364.2,8,16,1,2,1,1,7.2,4433.18,Upfront,4,Peer reviews,High cost,Solar compatibility,Washer;Dishwasher,Friends/Family
UAE,Metro,31,Male,Primary,4,37598.4,1094.6,0,42,5,5,1,1,26.2,1815.55,0‑interest EMI,2,Energy saving,Limited models,Quiet motor;Solar compatibility;5‑Star rating,Water‑heater,Social media;In‑store demos;Online reviews
UAE,Metro,39,Female,Graduate,1,136472.49,257.2,8,57,4,4,1,1,2.9,6305.67,Upfront,2,Govt incentive,Limited models,Solar compatibility;5‑Star rating,Air‑purifier;Dishwasher;Washer,Online reviews;Social media;In‑store demos
Singapore,Metro,47,Male,Post‑grad,1,60338.87,155.3,4,70,3,2,1,1,11.7,2599.8,0‑interest EMI,2,Peer reviews,Other,Wi‑Fi control,Refrigerator,Friends/Family;Social media;Govt portals
India,Tier‑2 city,28,Female,Secondary,1,30233.85,374.7,1,26,5,5,0,1,16.6,718.64,Upfront,2,Govt incentive,Limited models,Quiet motor,Washer,In‑store demos;Online reviews
India,Tier‑2 city,36,Male,Post‑grad,1,21173.15,196.8,2,38,1,1,0,0,4.0,1455.46,Rental,2,Energy saving,Low awareness,Compact design;Quiet motor,Washer;Dishwasher;Air‑purifier,Friends/Family
India,Metro,29,Female,Post‑grad,3,17822.53,294.9,3,53,2,1,1,1,7.6,416.06,Upfront,2,Peer reviews,Limited models,Solar compatibility;Compact design,Refrigerator;Water‑heater,Govt portals;Online reviews
